;WPC;EPC;WC;CISM;WCS;NC;A;B;C;D;E;F;U
;1;2;3;4;5;6;7;8;9;10;11;12;13
PLACE;World Championship;Continental Championship;World Cup;CISM WPC;PARA WCS;National Championship;WALAR A;WALAR B;WALAR C;WALAR D;WALAR E;WALAR F;Under
1;1000;900;800;800;700;500;450;400;350;300;150;100;0
2;900;700;600;600;500;350;350;300;250;200;100;80;0
3;800;600;500;500;450;250;250;200;150;120;80;60;0
4;700;450;400;400;350;150;200;150;120;100;70;50;0
5;600;400;350;350;300;120;150;120;100;90;60;40;0
6;600;350;300;300;250;100;150;120;100;90;60;30;0
7;500;300;300;300;200;90;120;100;90;80;50;20;0
8;500;300;300;300;200;80;120;100;90;80;50;15;0
9;450;250;200;200;150;70;100;90;80;70;40;10;0
10;450;250;200;200;150;60;100;90;80;70;40;9;0
11;450;250;200;200;150;50;100;80;70;60;30;8;0
12;450;250;200;200;150;40;100;80;70;60;30;7;0
13;400;200;150;150;120;30;90;70;60;50;20;6
14;400;200;150;150;120;20;90;70;60;50;20;5
15;400;200;150;150;120;15;90;60;50;40;15;4
16;350;150;120;120;100;10;80;50;40;30;10;3
17;350;150;120;120;100;9;80;40;30;20;9;2
18;350;150;120;120;100;8;80;30;20;15;8;1
19;300;120;100;100;90;7;70;20;15;10;7
20;300;120;100;100;90;6;70;15;10;9;6
21;300;120;100;100;90;5;70;10;9;8;5
22;300;120;100;100;90;4;70;9;8;7;4
23;250;100;90;90;80;3;60;8;7;6;3
24;250;100;90;90;80;2;60;7;6;5;2
25;250;100;90;90;80;1;60;6;5;4;1
26;250;100;90;90;80;;60;5;4;3
27;200;90;80;80;70;;50;4;3;2
28;200;90;80;80;70;;50;3;2;1
29;200;90;80;80;70;;50;2;1
30;200;90;80;80;70;;50;1
31;150;80;70;70;60;;40
32;150;80;70;70;60;;40
33;150;80;70;70;60;;40
34;150;80;70;70;60;;40
35;120;70;60;60;50;;30
36;120;70;60;60;50;;30
37;120;70;60;60;50;;30
38;120;70;60;60;50;;30
39;100;60;50;50;40;;20
40;100;60;50;50;40;;20
41;100;60;50;50;40;;20
42;100;60;50;50;40;;20
43;90;50;40;40;30;;15
44;90;50;40;40;30;;15
45;80;40;30;30;20;;10
46;80;40;30;30;20;;10
47;70;30;20;20;15;;9
48;70;30;20;20;15;;9
49;60;20;15;15;10;;8
50;60;20;15;15;10;;8
51;50;15;10;10;9;;7
52;50;15;10;10;9;;7
53;40;10;9;9;8;;6
54;40;10;9;9;8;;6
55;30;9;8;8;7;;5
56;30;9;8;8;7;;5
57;20;8;7;7;6;;4
58;20;8;7;7;6;;4
59;15;7;6;6;5;;3
60;15;7;6;6;5;;3
61;10;6;5;5;4;;2
62;10;6;5;5;4;;2
63;9;5;4;4;3;;1
64;9;5;4;4;3;;1
65;8;4;3;3;2
66;8;4;3;3;2
67;7;3;2;2;1
68;7;3;2;2;1
69;6;2;1;1
70;6;2;1;1
71;5;1
72;5;1
73;4
74;4
75;3
76;3
77;2
78;2
79;1
80;1
